block	model	mirror	angle	time	response	time2	diff	type
main	Modell16A	mirroredY225	21	1807100.8	2	1811118.8	4018	rm_hit
main	Modell15A	mirroredY315	29	1811650.1	2	1813574.2	1924.1	rm_hit
main	Modell14B	originalY0	1	1814099.7	2	1816355.1	2255.4	rm_hit
main	Modell7A	mirroredZ315	30	1816882.7	2	1820127.3	3244.6	rm_hit
main	Modell4A	mirroredY315	29	1820648.8	2	1822212.8	1564	rm_hit
main	Modell2B	originalZ90	8	1822748.5	2	1825340.2	2591.7	rm_hit
main	Modell10A	mirroredZ180	18	1825864.7	2	1828956.3	3091.6	rm_hit
main	Modell16A	originalZ45	4	1829480.8	1	1831961.8	2481	rm_hit
main	Modell9A	originalY270	23	1832497	1	1834813.9	2316.9	rm_hit
main	Modell14A	mirroredZ90	10	1835346.6	2	1837218.9	1872.3	rm_hit
main	Modell7A	mirroredY225	21	1837746.3	2	1844155.2	6408.9	rm_hit
main	Modell2B	mirroredY135	13	1844678.6	1	1848647.1	3968.5	rm_hit
main	Modell5B	originalY270	23	1849177.9	2	1850725	1547.1	rm_hit
main	Modell14B	mirroredY45	5	1851260.9	1	1854035	2774.1	rm_hit
main	Modell3A	originalY315	27	1854560.4	1	1856510	1949.6	rm_hit
main	Modell7B	mirroredZ225	22	1857043.4	1	1861429.4	4386	rm_hit
main	Modell5A	originalZ315	28	1861959.4	1	1864179.5	2220.1	rm_hit
main	Modell10B	mirroredZ270	26	1864709	1	1866756.8	2047.8	rm_hit
main	Modell2B	originalZ225	20	1867291.9	2	1870596.9	3305	rm_hit
main	Modell13B	mirroredY45	5	1871124.7	1	1873683.3	2558.6	rm_hit
main	Modell7B	mirroredY315	29	1874207.6	1	1875792.1	1584.5	rm_hit
